"さいしょの背ビレ…………　　５０ｐ
サメのなごりの背ビレ……　２００ｐ
エダホの背ビレ……………１０００ｐ
トゲの背ビレ………………１０００ｐ
カゼの背ビレ………………１０００ｐ
なくす………………………　　５０ｐ",146,"Original Dorsal Fin........50P
Vestigal Sharks Dorsal Fin200P
Edasaurus Dorsal Fin.....1000P
Thorn Dorsal Fin.........1000P
Jumping Dorsal Fin.......1000P
Remove.....................50P",192,"Simp[le] dors[al]%  50P
  f[in]
Ves[ti]g[ia]l%%%%% 200P
  shark f[in]
Edaphosaur%%1000P
  f[in]
Sp[in]y dors[al]%%1000P
  f[in]
G[li]d[in]g%%%%%%%1000P
  dors[al] f[in]
No dors[al] f[in]%  50P",177
"イクチオステガの　尾……　　５０ｐ
カの　尾……………………　１００ｐ
バネの　尾…………………　５００ｐ
トゲの　尾…………………　６００ｐ
トゲバネの　尾……………１０００ｐ",108,"Ikustega's Tail............50P
Power Tail................100P
Spring Tail...............500P
Thorn Tail................600P
Thorny Spring Tail.......1000P",160,"Ich[thy]ostega%  50P
  ta[il]
Stronger ta[il] 100P

Spr[in]gy ta[il]%% 500P

Thorny ta[il]%% 600P

Ide[al] ta[il]%%%%1000P",121
"ツルツルの胴………………　　５０ｐ
まだらもようの胴…………　５００ｐ
イボイボの胴………………２０００ｐ
よろいの胴…………………２５００ｐ
アンキロサウルスの胴……３０００ｐ
アーケロンの胴……………５０００ｐ
２足化に……………………１０００ｐ
４足化に……………………１０００ｐ
からだを、大きく…………１５００ｐ
からだを、小さく…………１５００ｐ",202,"Slick Body.................50P
Spotted Body..............500P
Warted Body..............2000P
Armor Body...............2500P
Pronesaurus Body.........3000P
Nautilon's Body..........5000P
Transform to 2 legs......1000P
Transform to 4 legs......1000P
Increase Body Size.......1500P
Decrease Body Size.......1500P",320,"Smooth sk[in]%%  50P

Spo[tt]ed sk[in]%% 500P

Warty sk[in]%%%2000P

Armored sk[in]%2500P

Anky[lo]saur%%%3000P
  skin
Arch[el]on%%%%%5000P
  she[ll]
More b[ip]ed[al]%%1000P

More%%%%%%%%1000P
  quadruped[al]
Larger body%1500P

Sm[al][le]r body%%1500P",244
"トリケラトプスのアゴ……　１００ｐ
ブロントザウルスのアゴ…　５００ｐ
トラコドンのアゴ…………１０００ｐ
アロサウルスのアゴ………３０００ｐ
ティラノサウルスのアゴ…５０００ｐ
シッタコサウルスのアゴ…　１００ｐ
プテラノドンのアゴ………　２００ｐ
ランフォリンクスのアゴ…　５００ｐ
シソチョウのアゴ…………１０００ｐ
フォロラコスのアゴ………１５００ｐ",287,"Tritop's Jaws.............100P
Brosaurus Jaws............500P
Toracodons Jaws..........1000P
Omosaurus Jaws...........3000P
Tyrasaurus Jaws..........5000P
Pitsaurus Jaws............100P
Ptenodons Jaws............200P
Phamcys Jaws..............500P
Longtailed birds Jaws....1000P
Phonocos Jaws............1500P",320,"Tr[ic]eratops%% 100P
  jaw
Brontosaur%% 500P
  jaw
Trachodon%%%1000P
  jaw
A[ll]osaur%%%%%3000P
  jaw
Tyrannosaur%5000P
  jaw
Ps[it]tacosaur% 100P
  jaw
Pteranodon%% 200P
  jaw
Rhampho-%%%% 500P
  rynchus jaw
Archaeo-%%%%1000P
  pteryx jaw
Phorus-%%%%%1500P
  rhacos jaw",299
"はなツノ……………………　５００ｐ
おでこツノ…………………１０００ｐ
ねじれツノ…………………１５００ｐ
２ほんツノ…………………５０００ｐ
なくす………………………　５００ｐ",99,"Muzzle Horn...............500P
Forehead Horn............1000P
Spiraled Horn............1500P
Dual Horns...............5000P
Remove....................500P",160,"Nose horn%%% 500P

Forehead%%%%1000P
  horn
S[pi]r[al] horn%%%1500P

Doub[le] horn%%5000P

No horn%%%%% 500P",109
"プテラノドンのとさか……　５００ｐ
トリケラトプスのかぶと…１０００ｐ
ツノつき　かぶと…………１０００ｐ
なくす………………………　１００ｐ",98,"Ptenodons Crest...........500P
Tritops Helmet...........1000P
Horned Helmet............1000P
Remove....................100P",128,"Pteranodon%% 500P
  crest
Tr[ic]eratops%%1000P
  h[el]met
Horned%%%%%%1000P
  h[el]met
Remove%%%%%% 100P",102
"ちぢめる……………………１０００ｐ
のばす………………………１０００ｐ",42,"Shorten Neck.............1000P
Extend Neck..............1000P",64,"Shorter%%%%%1000P
  neck
Longer neck%1000P",45
"エダホサウルスの背ビレ…　２００ｐ
ステゴザウルスの背ビレ…　５００ｐ
アンキロサウルスの背ビレ１０００ｐ
なくす………………………　　５０ｐ",107,"Edasaurus Dorsal Fin......200P
Segosaurus Dorsal Fin.....500P
Pronesaurus Dorsal Fin...1000P
Remove.....................50P",128,"Edaphosaur%% 200P
  dors[al] f[in]
Stegosaur%%% 500P
  dors[al] f[in]
Anky[lo]saur%%%1000P
  dors[al] f[in]
No dors[al] f[in]%  50P",114
"ふつうの　尾………………　　５０ｐ
ウネウネの　尾……………　１００ｐ
アーケロンの　尾…………　５００ｐ
アンキロサウルスの　尾…　５００ｐ
さいきょうの　尾…………１５００ｐ",95,"Normal Tail................50P
Snakes Tail...............100P
Nautilons Tail............500P
Pronesaurus Tail..........500P
Invincible Tail..........1500P",160,"Simp[le] ta[il]%%%  50P

Serpent[in]e%%% 100P
  ta[il]
Arch[el]on ta[il]% 500P

Anky[lo]saur%%% 500P
  ta[il]
Ide[al] ta[il]%%%%1500P",122
"ツルツルの胴………………　　５０ｐ
まだらもようの胴…………　５００ｐ
イボイボの胴………………２０００ｐ
よろいの胴…………………２５００ｐ
うもうの胴…………………３０００ｐ
からだを、大きく…………１５００ｐ
からだを、小さく…………１５００ｐ",145,"Slick Body.................50P
Spotted Body..............500P
Warted Body..............2000P
Armor Body...............2500P
Feather Body.............3000P
Increase Body Size.......1500P
Decrease Body Size.......1500P",224,"Smooth sk[in]%%  50P

Spo[tt]ed sk[in]%% 500P

Warty sk[in]%%%2000P

Armored sk[in]%2500P

Fea[the]red%%%%3000P
  sk[in]
Larger body%1500P

Sma[ll]er body%1500P",162
"プテラノドンの　尾………　１００ｐ
ウネウネの　尾……………　３００ｐ
トゲの　尾…………………　５００ｐ
うちわの　尾………………１０００ｐ
シソチョウの　尾…………３０００ｐ",102,"Ptenodons Tail............100P
Snakes Tail...............300P
Thorn Tail................500P
Fan Shaped Tail..........1000P
Longtail birds Tail......3000P",160,"Pteranodon%% 100P
  ta[il]
Serpent[in]e%%% 300P
  ta[il]
Thorny ta[il]%% 500P

Fan-shaped%%1000P
  ta[il]
Archaeo-%%%%3000P
  pteryx ta[il]",0
"ネコがたに…………………　１００ｐ
ウサギがたに………………　５００ｐ
ウマ、シカがたに…………１０００ｐ
サイがたに…………………２５００ｐ
ラマピテクスがたに………５０００ｐ
からだを、大きく…………１５００ｐ
からだを、小さく…………１５００ｐ",162,"Cat Shaped Body...........100P
Rabbit Shaped Body........500P
Horse Shaped Body........1000P
Rhinoceros Shaped Body...2500P
Ramothecus Shaped Body...5000P
Increase Body Size.......1500P
Decrease Body Size.......1500P",224,"Cat-[li]ke body 100P

Rabb[it]-[li]ke%%% 500P
  body
Horse/deer-%1000P
  [li]ke body
Rh[in]oceros-%%2500P
  [li]ke body
Ramap[it]hecus%5000P
  body
Larger body%1500P

Sma[ll]er body%1500P",0
"ネズミがたのアゴ…………　１００ｐ
ネコがたのアゴ……………　２００ｐ
イヌがたのアゴ……………　６００ｐ
どうもうなアゴ……………１５００ｐ
ウサギがたのアゴ…………　２００ｐ
ウマがたのアゴ……………１０００ｐ
カバがたのアゴ……………１０００ｐ
サイがたのアゴ……………２０００ｐ",210,"Mouse Like Jaws...........100P
Cat Like Jaws.............200P
Dog Like Jaws.............600P
Fierce Jaws..............1500P
Rabbit Like Jaws..........200P
Horse Like Jaws..........1000P
Hippo like Jaws..........1000P
Rhinoceros Jaws..........2000P",256,"Mouse-[li]ke%%% 100P
  jaw
Cat-[li]ke jaw% 200P

Dog-[li]ke jaw% 600P

F[ie]rce jaw%%%1500P

Rabb[it]-[li]ke%%% 200P
  jaw
Horse-[li]ke%%%1000P
  jaw
H[ip]popotamus-1000P
  [li]ke jaw
Rh[in]oceros-%%2000P
  [li]ke jaw",0
"たてがみ……………………　１００ｐ
シカのツノをつける………　２００ｐ
ヘラジカのツノをつける…　３００ｐ
ヒツジのツノをつける……　５００ｐ
ウシのツノをつける………２０００ｐ
なくす………………………　１００ｐ",123,"Mane......................100P
Add a Deer Horn...........200P
Add a Moose Horn..........300P
Add a Sheep Horn..........500P
Add a Bull Horn..........2000P
Remove....................100P",192,"Mane%%%%%%%% 100P

Add a deer%% 200P
  horn
Add a moose% 300P
  horn
Add a sheep% 500P
  horn
Add a bu[ll]%%%2000P
  horn
No horn%%%%% 100P",0
"ちぢめる……………………　２００ｐ
のばす………………………　２００ｐ",42,"Shorten Neck..............200P
Extend Neck...............200P",64,"Shorten neck 200P

Extend neck% 200P",0
とにかく進化させてみる…２０００ｐ,19,Try to Evolve............2000P,32,"M[ig]ht as we[ll]%2000P
  try [it]…",0
"さらに進化する……………２０００ｐ
からだを、大きく…………１５００ｐ
からだを、小さく…………１５００ｐ",63,"Evolve Further...........2000P
Increase Body Size.......1500P
Decrease Body Size.......1500P",96,"Con[ti]nue to%%2000P
  ev[ol]ve
Larger body%1500P

Sma[ll]er body%1500P",0
"からだを、大きく…………１５００ｐ
からだを、小さく…………１５００ｐ",44,"Increase Body Size.......1500P
Decrease Body Size.......1500P",64,"Larger body%1500P

Sma[ll]er body%1500P",0
